ID,MONTHS_BALANCE,STATUS,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5096070,-27,1,F,Y,N,0,180000.0,Working,Higher education,Married,House / apartment,-14943,-1650,1,1,0,1,Core staff,2.0
5061151,-20,X,M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13300,-3668,1,0,1,0,,5.0
5111166,-23,X,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13443,-2520,1,0,1,1,Managers,1.0
5137185,-1,0,F,Y,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-11405,-1934,1,1,0,0,,2.0
5115498,0,X,M,Y,Y,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16084,-1382,1,0,0,0,Laborers,4.0
5052759,-35,C,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-11728,-932,1,0,0,1,,1.0
5095092,-4,C,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-13797,-3259,1,0,1,0,High skill tech staff,4.0
5137481,-17,C,F,N,N,1,157500.0,Working,Higher education,Married,House / apartment,-13549,-2877,1,0,1,0,Accountants,3.0
5024206,-7,C,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16278,-2712,1,1,1,0,,1.0
5149061,-17,X,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20567,365243,1,0,0,0,,2.0
5018430,-12,0,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17067,-243,1,0,0,0,Drivers,3.0
5095699,-6,C,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20851,365243,1,0,0,0,,2.0
5117344,-11,1,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,-22827,365243,1,0,0,0,,1.0
5024789,-33,0,F,N,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-23868,365243,1,0,0,0,,2.0
5041457,-40,X,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15351,-6790,1,0,0,0,Core staff,1.0
5061089,-26,C,F,Y,N,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11128,-3242,1,1,0,0,Sales staff,5.0
5022090,-12,X,F,Y,Y,0,202500.0,Commercial associate,Incomplete higher,Married,House / apartment,-15812,-4231,1,1,1,1,Accountants,2.0
5142244,-54,0,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,-19580,-1230,1,0,0,0,Laborers,4.0
5036095,-34,0,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-21694,-3202,1,1,0,0,Security staff,2.0
5126794,-47,C,F,Y,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-11086,-2937,1,1,1,0,,4.0
5062212,-23,C,F,N,Y,2,153000.0,Commercial associate,Higher education,Married,House / apartment,-13283,-1324,1,0,0,0,Accountants,4.0
5068897,-13,C,M,Y,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-20113,-1754,1,1,0,0,Laborers,2.0
5090685,-17,0,F,Y,N,0,360000.0,Working,Higher education,Married,House / apartment,-12542,-4357,1,1,1,1,Managers,2.0
5029277,-12,C,F,N,N,0,220500.0,Working,Secondary / secondary special,Married,House / apartment,-15130,-170,1,0,0,0,,2.0
5135814,-29,0,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19482,-2878,1,0,0,0,Laborers,2.0
5096164,-11,0,M,N,N,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10134,-1619,1,0,1,0,Laborers,4.0
5052884,-3,C,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915,-3366,1,0,0,0,Drivers,2.0
5054676,-35,0,M,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10182,-2403,1,0,0,0,Sales staff,1.0
5142964,-28,C,M,N,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10656,-926,1,1,1,0,Laborers,3.0
5090336,-41,C,F,N,Y,0,76500.0,Pensioner,Higher education,Married,House / apartment,-23750,365243,1,0,0,0,,2.0
5092251,-51,0,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17300,-1235,1,0,0,0,Drivers,2.0
5022207,-54,0,M,N,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14143,-275,1,0,1,0,Drivers,3.0
5149642,-34,0,F,N,Y,0,292500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22576,365243,1,0,0,0,,1.0
5113378,-25,0,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,Municipal apartment,-19120,-2567,1,0,1,0,Laborers,2.0
5126758,-8,X,M,Y,Y,2,292500.0,Working,Secondary / secondary special,Married,House / apartment,-8782,-1018,1,1,0,0,Laborers,4.0
5118305,-31,C,F,Y,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18198,-2106,1,0,1,0,Sales staff,2.0
5096362,-32,C,F,N,N,2,148500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12765,-1374,1,0,0,0,Sales staff,4.0
5024819,-6,C,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-19728,-277,1,0,0,0,Sales staff,2.0
5090773,-44,X,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-11813,-3266,1,1,1,0,Sales staff,3.0
5089348,-14,0,F,N,N,0,121500.0,State servant,Higher education,Married,House / apartment,-22014,-5239,1,1,0,0,Accountants,2.0
5022324,-28,0,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-21503,-1674,1,0,0,1,Core staff,2.0
5024469,-57,0,F,N,Y,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10186,-2315,1,0,0,0,Medicine staff,4.0
5149637,-21,X,F,N,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13921,-2542,1,0,0,0,Sales staff,2.0
5028858,-20,C,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13867,-3095,1,0,0,0,Laborers,3.0
5132294,-24,0,M,N,Y,0,90000.0,State servant,Secondary / secondary special,Separated,House / apartment,-19360,-864,1,0,0,0,Cleaning staff,1.0
5028825,-27,0,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18493,-387,1,0,0,0,Sales staff,2.0
5056137,-25,0,M,Y,Y,0,202500.0,Working,Incomplete higher,Married,House / apartment,-17242,-857,1,0,1,0,Security staff,2.0
5113716,-51,X,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16415,-3054,1,0,0,1,Private service staff,3.0
5054430,-19,1,F,N,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10976,-668,1,0,0,0,High skill tech staff,3.0
5113324,-20,X,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22381,365243,1,0,0,0,,2.0
5146334,-1,C,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16173,-674,1,0,0,0,Sales staff,2.0
5085718,-6,C,F,N,Y,0,162000.0,Working,Higher education,Married,House / apartment,-14771,-5921,1,0,1,0,,2.0
5029552,-12,X,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23751,365243,1,0,0,0,,1.0
5079092,-30,C,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12571,-451,1,1,0,1,Drivers,3.0
5091611,-25,0,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9393,-2757,1,1,1,0,Laborers,2.0
5150221,-46,0,M,Y,Y,0,116100.0,Working,Secondary / secondary special,Married,House / apartment,-10136,-2441,1,0,0,0,Laborers,2.0
5041812,-5,X,F,N,N,1,112500.0,Commercial associate,Higher education,Separated,House / apartment,-14648,-2833,1,1,0,0,Private service staff,2.0
5062443,-13,C,F,N,Y,0,67500.0,State servant,Secondary / secondary special,Married,House / apartment,-19818,-11398,1,0,0,0,,2.0
5067386,-18,0,M,Y,Y,2,254700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17254,-9131,1,0,1,0,Laborers,4.0
